0.37 0.020764193 0.045234561 -65.272667 0.13638729 1 1 0.99522775 -80 -62.60936 0.020920314 0.091319889 0.00015612171 0.15578084 
0.38 0.020781297 0.045263216 -65.268524 0.13629635 1 1 0.99522316 -80 -62.603912 0.02093759 0.091328144 0.0001562939 0.15574752 
0.38999999 0.020798419 0.045291889 -65.264366 0.13620546 1 1 0.99521858 -80 -62.598461 0.020954885 0.091336407 0.00015646641 0.15571421 
0.40000001 0.020815559 0.045320589 -65.260216 0.13611466 1 1 0.99521399 -80 -62.593006 0.020972198 0.091344662 0.00015663925 0.15568095 
0.41 0.020832716 0.045349304 -65.256065 0.13602389 1 1 0.9952094 -80 -62.587547 0.020989528 0.091352925 0.00015681241 0.15564772 
0.41999999 0.020849889 0.045378044 -65.251907 0.13593319 1 1 0.99520475 -80 -62.582088 0.021006875 0.091361195 0.00015698589 0.15561453 
0.43000001 0.020867081 0.045406807 -65.247757 0.13584256 1 1 0.99520016 -80 -62.576622 0.02102424 0.091369458 0.00015715969 0.15558137 
0.44 0.02088429 0.045435589 -65.243599 0.13575198 1 1 0.99519551 -80 -62.571156 0.021041624 0.091377735 0.00015733384 0.15554823 
0.44999999 0.020901516 0.045464393 -65.239441 0.13566147 1 1 0.99519092 -80 -62.565681 0.021059025 0.091386005 0.0001575083 0.15551513 
0.46000001 0.02091876 0.045493219 -65.235283 0.135571 1 1 0.99518627 -80 -62.560207 0.021076445 0.091394283 0.0001576831 0.15548207 
0.47 0.020936023 0.045522068 -65.231125 0.13548061 1 1 0.99518162 -80 -62.554729 0.021093881 0.09140256 0.00015785822 0.15544903 
0.47999999 0.020953303 0.045550935 -65.226959 0.13539028 1 1 0.99517697 -80 -62.549248 0.021111336 0.091410846 0.00015803368 0.15541603 
0.49000001 0.0209706 0.045579828 -65.222801 0.13530001 1 1 0.99517238 -80 -62.543762 0.021128809 0.091419131 0.00015820947 0.15538305 
0.5 0.020987915 0.04560874 -65.218636 0.13520978 1 1 0.99516773 -80 -62.538273 0.021146299 0.091427423 0.00015838559 0.15535012 
0.50999999 0.021005247 0.045637675 -65.21447 0.13511963 1 1 0.99516302 -80 -62.53278 0.021163808 0.091435716 0.00015856205 0.1553172 
0.51999998 0.021022597 0.045666631 -65.210304 0.13502954 1 1 0.99515837 -80 -62.527287 0.021181336 0.091444008 0.00015873884 0.15528433 
0.52999997 0.021039965 0.04569561 -65.206139 0.13493951 1 1 0.99515373 -80 -62.521786 0.021198882 0.091452301 0.00015891597 0.15525149 
0.54000002 0.021057351 0.045724612 -65.201973 0.13484953 1 1 0.99514908 -80 -62.516285 0.021216445 0.0914606 0.00015909344 0.15521869 
0.55000001 0.021074755 0.045753635 -65.1978 0.13475962 1 1 0.99514437 -80 -62.51078 0.021234026 0.091468908 0.00015927125 0.15518591 
0.56 0.021092176 0.045782682 -65.193634 0.13466977 1 1 0.99513966 -80 -62.505268 0.021251626 0.091477215 0.0001594494 0.15515317 
0.56999999 0.021109616 0.045811746 -65.189461 0.13457997 1 1 0.99513501 -80 -62.499756 0.021269243 0.091485523 0.00015962789 0.15512046 
0.57999998 0.021127073 0.045840837 -65.185287 0.13449024 1 1 0.9951303 -80 -62.49424 0.021286881 0.091493838 0.00015980673 0.15508778 
0.58999997 0.021144548 0.045869946 -65.181114 0.13440056 1 1 0.99512559 -80 -62.48872 0.021304535 0.091502152 0.00015998591 0.15505514 
0.60000002 0.021162042 0.045899082 -65.176941 0.13431095 1 1 0.99512088 -80 -62.483196 0.021322208 0.091510467 0.00016016544 0.15502252 
0.61000001 0.021179553 0.045928236 -65.17276 0.13422139 1 1 0.99511617 -80 -62.477669 0.021339899 0.09151879 0.0001603453 0.15498994 
0.62 0.021197082 0.045957413 -65.168587 0.13413189 1 1 0.99511147 -80 -62.472137 0.021357609 0.091527112 0.00016052552 0.15495738 
0.63 0.02121463 0.045986615 -65.164406 0.13404246 1 1 0.99510676 -80 -62.466602 0.021375336 0.091535442 0.0001607061 0.15492487 
0.63999999 0.021232197 0.046015836 -65.160225 0.13395308 1 1 0.99510205 -80 -62.461063 0.021393083 0.091543771 0.00016088701 0.1548924 
0.64999998 0.02124978 0.04604508 -65.156044 0.13386376 1 1 0.99509728 -80 -62.455524 0.021410849 0.091552101 0.00016106828 0.15485995 
0.66000003 0.021267382 0.046074349 -65.151863 0.1337745 1 1 0.99509257 -80 -62.449978 0.021428632 0.091560438 0.0001612499 0.15482752 
0.67000002 0.021285003 0.046103638 -65.147675 0.13368531 1 1 0.9950878 -80 -62.444427 0.021446435 0.091568775 0.00016143189 0.15479514 
0.68000001 0.021302642 0.046132948 -65.143494 0.13359617 1 1 0.99508309 -80 -62.438877 0.021464257 0.09157712 0.00016161423 0.15476279 
